CURRENT_ICD10_LIST,SNOMED_CONCEPT_NAME,SNOMED_CONCEPT_ID,CURATE_METHOD
P29.0,Heart failure (disorder),84114007,Database
I11.0,I43,Heart failure (disorder),84114007,Database
I50.4,Heart failure (disorder),84114007,Database
I11.0,I42.2,Heart failure (disorder),84114007,Database
I50.20,Heart failure (disorder),84114007,Database
I13.2,N18.6,Heart failure (disorder),84114007,Database
I50.9,I38,Heart failure (disorder),84114007,Database
I50.30,Heart failure (disorder),84114007,Database
I13.2,N18.5,Heart failure (disorder),84114007,Database
I50.9,I51.9,Heart failure (disorder),84114007,Database
I97.130,Heart failure (disorder),84114007,Database
I97.131,Heart failure (disorder),84114007,Database
I13.0,N18.1,Heart failure (disorder),84114007,Database
I13.0,N18.2,Heart failure (disorder),84114007,Database
I13.11,I50.9,N18.5,Heart failure (disorder),84114007,Database
I50.9,Q24.9,Heart failure (disorder),84114007,Database
I50.1,Heart failure (disorder),84114007,Database
I51.9,Heart failure (disorder),84114007,Database
I50.9,J98.4,Heart failure (disorder),84114007,Database
I50.40,I50.1,Heart failure (disorder),84114007,Database
I50.20,I42.1,Heart failure (disorder),84114007,Database
I50.20,I42.2,Heart failure (disorder),84114007,Database
I13.0,I50.89,N18.32,Heart failure (disorder),84114007,Database
I13.0,N18.30,Heart failure (disorder),84114007,Database
I13.0,N18.32,Heart failure (disorder),84114007,Database
I13.0,I50.89,N18.31,Heart failure (disorder),84114007,Database
I13.0,N18.31,Heart failure (disorder),84114007,Database
F11.13,Opioid abuse (disorder),5602001,Database
F11.159,Opioid abuse (disorder),5602001,Database
F11.922,Opioid abuse (disorder),5602001,Database
F11.94,Opioid abuse (disorder),5602001,Database
F11.950,Opioid abuse (disorder),5602001,Database
F11.10,Opioid abuse (disorder),5602001,Database
F11.20,Opioid abuse (disorder),5602001,Database
O99.323,F11.10,Opioid abuse (disorder),5602001,Database
F11.12,Opioid abuse (disorder),5602001,Database
F11.18,Opioid abuse (disorder),5602001,Database
F11.1,Opioid abuse (disorder),5602001,Database
F11.11,Opioid abuse (disorder),5602001,Database
F11.182,Opioid abuse (disorder),5602001,Database
F11.181,Opioid abuse (disorder),5602001,Database
F11.129,Opioid abuse (disorder),5602001,Database
F11.19,Opioid abuse (disorder),5602001,Database
F11.982,Opioid abuse (disorder),5602001,Database
O99.320,F11.10,Opioid abuse (disorder),5602001,Database
F11.929,F11.981,Opioid abuse (disorder),5602001,Database
F11.21,Opioid abuse (disorder),5602001,Database
F11.121,Opioid abuse (disorder),5602001,Database
F11.221,Opioid abuse (disorder),5602001,Database
F11.129,F11.188,F41.8,Opioid abuse (disorder),5602001,Database
F11.129,F11.181,Opioid abuse (disorder),5602001,Database
F11.282,Opioid abuse (disorder),5602001,Database
F11.229,F11.281,Opioid abuse (disorder),5602001,Database
F11.23,F11.281,Opioid abuse (disorder),5602001,Database
F11.981,Opioid abuse (disorder),5602001,Database
F11.229,F11.288,F41.8,Opioid abuse (disorder),5602001,Database
F11.281,Opioid abuse (disorder),5602001,Database
F11.951,Opioid abuse (disorder),5602001,Database
O99.320,F11.90,Opioid abuse (disorder),5602001,Database
O99.321,F11.90,Opioid abuse (disorder),5602001,Database
O99.322,F11.90,Opioid abuse (disorder),5602001,Database
O99.323,F11.90,Opioid abuse (disorder),5602001,Database
F11.151,Opioid abuse (disorder),5602001,Database
F11.921,Opioid abuse (disorder),5602001,Database
O99.321,F11.10,Opioid abuse (disorder),5602001,Database
F11.90,Opioid abuse (disorder),5602001,Database
O99.322,F11.10,Opioid abuse (disorder),5602001,Database
Z87.898,Opioid abuse (disorder),5602001,Database
F11.150,Opioid abuse (disorder),5602001,Database
F11.959,Opioid abuse (disorder),5602001,Database
F11.93,Opioid abuse (disorder),5602001,Database
F11.929,Opioid abuse (disorder),5602001,Database
F11.122,Opioid abuse (disorder),5602001,Database
F11.120,Opioid abuse (disorder),5602001,Database
F11.988,Opioid abuse (disorder),5602001,Database
F11.15,Opioid abuse (disorder),5602001,Database
F11.99,Opioid abuse (disorder),5602001,Database
F11.188,Opioid abuse (disorder),5602001,Database
F11.13,F11.188,F41.8,Opioid abuse (disorder),5602001,Database
F11.13,F11.181,Opioid abuse (disorder),5602001,Database
M80.8AXD,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.8AXS,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XA,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XS,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XP,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XP,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XD,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XK,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XG,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XS,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.00XA,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.019A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.819A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.059G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XD,Pathological fracture due to osteoporosis (disorder),443165006,Database
Z87.310,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.012G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.062P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XK,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.80XG,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.052P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.051A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869G,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.869S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.011D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859K,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459P,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.859A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.812D,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.8AXP,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.8AXK,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.0AXA,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.8AXA,Pathological fracture due to osteoporosis (disorder),443165006,Database
M84.459A,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.811S,Pathological fracture due to osteoporosis (disorder),443165006,Database
M80.8AXG,Pathological fracture due to osteoporosis (disorder),443165006,Database
D68.9,Acquired coagulation disorder (disorder),234466008,Database
D68.9,T50.905A,Acquired coagulation disorder (disorder),234466008,Database
S72.099G,Closed fracture of hip (disorder),359817006,Database
S72.091G,Closed fracture of hip (disorder),359817006,Database
S72.001D,Closed fracture of hip (disorder),359817006,Database
S72.009D,Closed fracture of hip (disorder),359817006,Database
S72.091D,Closed fracture of hip (disorder),359817006,Database
S79.019S,Closed fracture of hip (disorder),359817006,Database
S72.009A,Closed fracture of hip (disorder),359817006,Database
S72.001S,Closed fracture of hip (disorder),359817006,Database
S72.109G,Closed fracture of hip (disorder),359817006,Database
S72.101A,Closed fracture of hip (disorder),359817006,Database
S72.091A,Closed fracture of hip (disorder),359817006,Database
S72.092P,Closed fracture of hip (disorder),359817006,Database
S72.099A,Closed fracture of hip (disorder),359817006,Database
S72.091P,Closed fracture of hip (disorder),359817006,Database
S72.002A,Closed fracture of hip (disorder),359817006,Database
S72.002S,Closed fracture of hip (disorder),359817006,Database
S72.001P,Closed fracture of hip (disorder),359817006,Database
S72.009P,Closed fracture of hip (disorder),359817006,Database
S72.102K,Closed fracture of hip (disorder),359817006,Database
S72.002K,Closed fracture of hip (disorder),359817006,Database
S72.002G,Closed fracture of hip (disorder),359817006,Database
S72.099K,Closed fracture of hip (disorder),359817006,Database
S72.099P,Closed fracture of hip (disorder),359817006,Database
S72.009K,Closed fracture of hip (disorder),359817006,Database
S72.001K,S72.002K,Closed fracture of hip (disorder),359817006,Database
S72.001A,S72.002A,Closed fracture of hip (disorder),359817006,Database
S72.001P,S72.002P,Closed fracture of hip (disorder),359817006,Database
S72.001S,S72.002S,Closed fracture of hip (disorder),359817006,Database
S72.001G,S72.002G,Closed fracture of hip (disorder),359817006,Database
S72.001D,S72.002D,Closed fracture of hip (disorder),359817006,Database
S72.092D,Closed fracture of hip (disorder),359817006,Database
S72.092S,Closed fracture of hip (disorder),359817006,Database
S72.091S,Closed fracture of hip (disorder),359817006,Database
S72.001G,Closed fracture of hip (disorder),359817006,Database
S72.092K,Closed fracture of hip (disorder),359817006,Database
S72.001K,Closed fracture of hip (disorder),359817006,Database
S72.092A,Closed fracture of hip (disorder),359817006,Database
S72.002K,S32.82XK,Closed fracture of hip (disorder),359817006,Database
S72.001K,S32.82XK,Closed fracture of hip (disorder),359817006,Database
S72.001G,S32.82XG,Closed fracture of hip (disorder),359817006,Database
S72.001A,Closed fracture of hip (disorder),359817006,Database
S72.101S,Closed fracture of hip (disorder),359817006,Database
S79.019K,Closed fracture of hip (disorder),359817006,Database
S72.002D,Closed fracture of hip (disorder),359817006,Database
S79.011P,Closed fracture of hip (disorder),359817006,Database
S72.002P,Closed fracture of hip (disorder),359817006,Database
S79.012P,Closed fracture of hip (disorder),359817006,Database
S79.011K,Closed fracture of hip (disorder),359817006,Database
S72.009G,Closed fracture of hip (disorder),359817006,Database
S72.092G,Closed fracture of hip (disorder),359817006,Database
S72.091K,Closed fracture of hip (disorder),359817006,Database
S72.099D,Closed fracture of hip (disorder),359817006,Database
S72.099S,Closed fracture of hip (disorder),359817006,Database
S72.102S,Closed fracture of hip (disorder),359817006,Database
S72.102P,Closed fracture of hip (disorder),359817006,Database
S79.012K,Closed fracture of hip (disorder),359817006,Database
S72.102G,Closed fracture of hip (disorder),359817006,Database
S79.011A,Closed fracture of hip (disorder),359817006,Database
S79.012A,Closed fracture of hip (disorder),359817006,Database
S79.019G,Closed fracture of hip (disorder),359817006,Database
S79.019A,Closed fracture of hip (disorder),359817006,Database
S72.109K,Closed fracture of hip (disorder),359817006,Database
S72.009S,Closed fracture of hip (disorder),359817006,Database
S79.011G,Closed fracture of hip (disorder),359817006,Database
S79.011S,Closed fracture of hip (disorder),359817006,Database
S72.101D,Closed fracture of hip (disorder),359817006,Database
S79.019D,Closed fracture of hip (disorder),359817006,Database
S72.102A,Closed fracture of hip (disorder),359817006,Database
S79.019P,Closed fracture of hip (disorder),359817006,Database
S72.101K,Closed fracture of hip (disorder),359817006,Database
S79.012G,Closed fracture of hip (disorder),359817006,Database
S79.012S,Closed fracture of hip (disorder),359817006,Database
S72.109D,Closed fracture of hip (disorder),359817006,Database
S72.101G,Closed fracture of hip (disorder),359817006,Database
S72.109P,Closed fracture of hip (disorder),359817006,Database
S79.011D,Closed fracture of hip (disorder),359817006,Database
S79.012D,Closed fracture of hip (disorder),359817006,Database
S72.102D,Closed fracture of hip (disorder),359817006,Database
S72.101P,Closed fracture of hip (disorder),359817006,Database
S79.002P,Closed fracture of hip (disorder),359817006,Database
S72.002D,S32.82XD,Closed fracture of hip (disorder),359817006,Database
S72.002G,S32.82XG,Closed fracture of hip (disorder),359817006,Database
S72.001D,S32.82XD,Closed fracture of hip (disorder),359817006,Database
S72.001A,S32.82XA,Closed fracture of hip (disorder),359817006,Database
S72.002A,S32.82XA,Closed fracture of hip (disorder),359817006,Database
S72.109S,Closed fracture of hip (disorder),359817006,Database
S72.109A,Closed fracture of hip (disorder),359817006,Database
E66.1,Z68.41,Body mass index 40+ - severely obese (finding),408512008,Database
E66.1,Z68.42,Body mass index 40+ - severely obese (finding),408512008,Database
E66.1,Z68.43,Body mass index 40+ - severely obese (finding),408512008,Database
E66.1,Z68.45,Body mass index 40+ - severely obese (finding),408512008,Database
E66.1,Z68.44,Body mass index 40+ - severely obese (finding),408512008,Database
Z68.41,Body mass index 40+ - severely obese (finding),408512008,Database
Z68.44,Body mass index 40+ - severely obese (finding),408512008,Database
Z68.43,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Z68.43,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Z68.44,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Z68.41,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Z68.42,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Z68.45,Body mass index 40+ - severely obese (finding),408512008,Database
E66.01,Body mass index 40+ - severely obese (finding),408512008,Database
Z68.42,Body mass index 40+ - severely obese (finding),408512008,Database
Z68.45,Body mass index 40+ - severely obese (finding),408512008,Database
E66.1,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Z68.41,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Z68.42,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Z68.43,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Z68.44,Body mass index 40+ - severely obese (finding),408512008,Database
E66.2,Z68.45,Body mass index 40+ - severely obese (finding),408512008,Database
E11.3493,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3299,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3492,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3493,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3493,E11.65,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3493,E11.65,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3219,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3491,E11.65,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3411,E11.65,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3491,E11.65,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3411,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3499,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3491,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3411,E11.65,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3492,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3491,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3412,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3411,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3412,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3492,E11.65,Z79.4,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3492,E11.65,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3291,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3292,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3299,E11.65,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
E11.3419,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Database
S37.002S,Injury of kidney (disorder),40095003,Database
S37.002S,S37.10XS,Injury of kidney (disorder),40095003,Database
S37.092D,Injury of kidney (disorder),40095003,Database
S37.009A,Injury of kidney (disorder),40095003,Database
S37.009S,Injury of kidney (disorder),40095003,Database
S37.001S,Injury of kidney (disorder),40095003,Database
S37.001A,Injury of kidney (disorder),40095003,Database
S37.099A,Injury of kidney (disorder),40095003,Database
S37.002A,Injury of kidney (disorder),40095003,Database
S37.002D,Injury of kidney (disorder),40095003,Database
S37.001A,S37.10XA,Injury of kidney (disorder),40095003,Database
S37.009D,Injury of kidney (disorder),40095003,Database
N14.1,T36.7X5A,Injury of kidney (disorder),40095003,Database
N14.2,T36.95XA,Injury of kidney (disorder),40095003,Database
N14.2,Injury of kidney (disorder),40095003,Database
S37.001D,Injury of kidney (disorder),40095003,Database
N14.1,T45.1X5A,Injury of kidney (disorder),40095003,Database
S37.002D,S37.10XD,Injury of kidney (disorder),40095003,Database
S37.092A,Injury of kidney (disorder),40095003,Database
S37.091S,Injury of kidney (disorder),40095003,Database
S37.091D,Injury of kidney (disorder),40095003,Database
S37.099D,Injury of kidney (disorder),40095003,Database
S37.002A,S37.10XA,Injury of kidney (disorder),40095003,Database
N14.2,T36.5X5A,Injury of kidney (disorder),40095003,Database
N17.9,Injury of kidney (disorder),40095003,Database
S37.092S,Injury of kidney (disorder),40095003,Database
S37.099S,Injury of kidney (disorder),40095003,Database
S37.001D,S37.10XD,Injury of kidney (disorder),40095003,Database
N14.1,T37.5X5A,Injury of kidney (disorder),40095003,Database
S37.001S,S37.10XS,Injury of kidney (disorder),40095003,Database
S37.0,Injury of kidney (disorder),40095003,Database
S37.091A,Injury of kidney (disorder),40095003,Database
T86.19,Injury of kidney (disorder),40095003,Database
S37.092,Injury of kidney (disorder),40095003,Database
S37.09,Injury of kidney (disorder),40095003,Database
S37.091,Injury of kidney (disorder),40095003,Database
S26.90XA,Injury of heart (disorder),86175003,Database
S26.90XS,Injury of heart (disorder),86175003,Database
S26.99XD,Injury of heart (disorder),86175003,Database
S26.99XS,Injury of heart (disorder),86175003,Database
S26.1,Injury of heart (disorder),86175003,Database
S26.99XA,Injury of heart (disorder),86175003,Database
S26,Injury of heart (disorder),86175003,Database
S26.90XD,Injury of heart (disorder),86175003,Database
S26.19,Injury of heart (disorder),86175003,Database
F17.200,Smokes tobacco daily (finding),449868002,Database
R04.2,Hemoptysis (finding),66857006,Database
S83.419A,Injury of medial collateral ligament of knee (disorder),444448004,Database
S83.411A,Injury of medial collateral ligament of knee (disorder),444448004,Database
S83.411S,Injury of medial collateral ligament of knee (disorder),444448004,Database
S83.412A,Injury of medial collateral ligament of knee (disorder),444448004,Database
S83.411D,Injury of medial collateral ligament of knee (disorder),444448004,Database
G43.709,Transformed migraine (disorder),427419006,Database
G43.109,Transformed migraine (disorder),427419006,Database
C34.01,Non-small cell lung cancer (disorder),254637007,Database
C34.91,Non-small cell lung cancer (disorder),254637007,Database
C34.92,Non-small cell lung cancer (disorder),254637007,Database
C34.00,Non-small cell lung cancer (disorder),254637007,Database
C34.02,Non-small cell lung cancer (disorder),254637007,Database
C34.90,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C77.8,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C78.6,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C78.1,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C77.3,Non-small cell lung cancer (disorder),254637007,Database
C34.2,Non-small cell lung cancer (disorder),254637007,Database
C34.10,Non-small cell lung cancer (disorder),254637007,Database
C34.30,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C79.00,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C79.51,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C79.70,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C79.31,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C77.1,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C78.7,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C79.32,Non-small cell lung cancer (disorder),254637007,Database
C34.90,C77.0,Non-small cell lung cancer (disorder),254637007,Database
C34.92,Non-small cell carcinoma of lung,TNM stage 1 (disorder),424132000,Database
C34.91,Non-small cell carcinoma of lung,TNM stage 1 (disorder),424132000,Database
C34.90,Non-small cell carcinoma of lung,TNM stage 1 (disorder),424132000,Database
O23.41,Recurrent urinary tract infection (disorder),197927001,Database
O23.43,Recurrent urinary tract infection (disorder),197927001,Database
O23.42,Recurrent urinary tract infection (disorder),197927001,Database
O23.40,Recurrent urinary tract infection (disorder),197927001,Database
A41.9,N39.0,Recurrent urinary tract infection (disorder),197927001,Database
N39.0,Recurrent urinary tract infection (disorder),197927001,Database
M10.9,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M1A.9XX0,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M1A.00X0,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M1A.00,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M1A.0,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M1A,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
M10,Inflammatory disorder due to increased blood urate level (disorder),90560007,Database
L25.9,Contact dermatitis (disorder),40275004,Database
L25.8,Contact dermatitis (disorder),40275004,Database
L23.81,Contact dermatitis (disorder),40275004,Database
H60.8X2,Contact dermatitis (disorder),40275004,Database
L25,Contact dermatitis (disorder),40275004,Database
L25.3,Contact dermatitis (disorder),40275004,Database
S86.819D,Rupture of patellar tendon (disorder),30832001,Database
S86.811D,Rupture of patellar tendon (disorder),30832001,Database
S86.812S,Rupture of patellar tendon (disorder),30832001,Database
S86.819S,Rupture of patellar tendon (disorder),30832001,Database
S86.812A,Rupture of patellar tendon (disorder),30832001,Database
S86.812D,Rupture of patellar tendon (disorder),30832001,Database
S86.819A,Rupture of patellar tendon (disorder),30832001,Database
S86.811A,Rupture of patellar tendon (disorder),30832001,Database
S86.811S,Rupture of patellar tendon (disorder),30832001,Database
C18.8,Overlapping malignant neoplasm of colon (disorder),109838007,Database
F10.259,Alcoholism (disorder),7200002,Database
F10.20,Alcoholism (disorder),7200002,Database
F10.950,Alcoholism (disorder),7200002,Database
F10.959,Alcoholism (disorder),7200002,Database
F10.951,Alcoholism (disorder),7200002,Database
F10.229,Alcoholism (disorder),7200002,Database
F10.221,Alcoholism (disorder),7200002,Database
F10.220,Alcoholism (disorder),7200002,Database
Z71.41,Alcoholism (disorder),7200002,Database
K70.30,Alcoholism (disorder),7200002,Database
C18.9,Malignant neoplasm of colon (disorder),363406005,Database
C19,Malignant neoplasm of colon (disorder),363406005,Database
C18.9,Z15.01,Malignant neoplasm of colon (disorder),363406005,Database
C18,Malignant neoplasm of colon (disorder),363406005,Database
S06.9X3D,Brain damage - traumatic (disorder),275272006,Database
S06.9X2S,Brain damage - traumatic (disorder),275272006,Database
S06.9X5S,Brain damage - traumatic (disorder),275272006,Database
S06.9X5A,Brain damage - traumatic (disorder),275272006,Database
S06.9X0A,Brain damage - traumatic (disorder),275272006,Database
S06.9X2A,Brain damage - traumatic (disorder),275272006,Database
S06.9X0D,Brain damage - traumatic (disorder),275272006,Database
S06.9X7S,Brain damage - traumatic (disorder),275272006,Database
S06.9X5D,Brain damage - traumatic (disorder),275272006,Database
S06.9X7A,Brain damage - traumatic (disorder),275272006,Database
S06.9X7D,Brain damage - traumatic (disorder),275272006,Database
S06.9X0S,Brain damage - traumatic (disorder),275272006,Database
S06.9X3A,Brain damage - traumatic (disorder),275272006,Database
S06.9X1S,Brain damage - traumatic (disorder),275272006,Database
S06.9X3S,Brain damage - traumatic (disorder),275272006,Database
S06.9X2D,Brain damage - traumatic (disorder),275272006,Database
S06.9X1D,Brain damage - traumatic (disorder),275272006,Database
S06.9X4S,Brain damage - traumatic (disorder),275272006,Database
S06.9X4D,Brain damage - traumatic (disorder),275272006,Database
S06.9X4A,Brain damage - traumatic (disorder),275272006,Database
S06.9X9S,Brain damage - traumatic (disorder),275272006,Database
