set_id,icd_code,icd_description,snomed,snomed_concept_name
580,E78.3,Hyperchylomicronemia,55822004,Hyperlipidemia (disorder)
581,E78.5,"Hyperlipidemia, unspecified",55822004,Hyperlipidemia (disorder)
582,E78.4,Other hyperlipidemia,55822004,Hyperlipidemia (disorder)
583,E78.49,Other hyperlipidemia,55822004,Hyperlipidemia (disorder)
584,R79.89,Other specified abnormal findings of blood chemistry,55822004,Hyperlipidemia (disorder)
585,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",68566005,Urinary tract infectious disease (disorder)
586,Z87.44,Personal history of diseases of urinary system,68566005,Urinary tract infectious disease (disorder)
587,N39.0,"Urinary tract infection, site not specified",68566005,Urinary tract infectious disease (disorder)
588,O99.82,"Streptococcus B carrier state complicating pregnancy, childbirth and the puerperium",68566005,Urinary tract infectious disease (disorder)
589,O03.88,Urinary tract infection following complete or unspecified spontaneous abortion,68566005,Urinary tract infectious disease (disorder)
590,N99.52,Complication of incontinent external stoma of urinary tract,68566005,Urinary tract infectious disease (disorder)
591,J02.9,"Acute pharyngitis, unspecified",267102003,Sore throat symptom (finding)
592,M79.11,Myalgia of mastication muscle,68962001,Muscle pain (finding)
593,M79.1,Myalgia,68962001,Muscle pain (finding)
594,M79.12,"Myalgia of auxiliary muscles, head and neck",68962001,Muscle pain (finding)
595,M79.7,Fibromyalgia,68962001,Muscle pain (finding)
596,M54.2,Cervicalgia,68962001,Muscle pain (finding)
597,T14.8,Other injury of unspecified body region,68962001,Muscle pain (finding)
598,M79.18,"Myalgia, other site",68962001,Muscle pain (finding)
599,M79.10,"Myalgia, unspecified site",68962001,Muscle pain (finding)
600,L89,Pressure ulcer,399912005,Pressure ulcer (disorder)
601,L98.49,Non-pressure chronic ulcer of skin of other sites,399912005,Pressure ulcer (disorder)
602,S88.11,Complete traumatic amputation at level between knee and ankle,161622006,History of lower limb amputation (situation)
603,Z89.61,Acquired absence of leg above knee,161622006,History of lower limb amputation (situation)
604,Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified",230745008,Hydrocephalus (disorder)
605,Q05.3,Sacral spina bifida with hydrocephalus,230745008,Hydrocephalus (disorder)
606,Q05.1,Thoracic spina bifida with hydrocephalus,230745008,Hydrocephalus (disorder)
607,Q05.0,Cervical spina bifida with hydrocephalus,230745008,Hydrocephalus (disorder)
608,Q05.2,Lumbar spina bifida with hydrocephalus,230745008,Hydrocephalus (disorder)
609,G91,Hydrocephalus,230745008,Hydrocephalus (disorder)
610,Q03.9,"Congenital hydrocephalus, unspecified",230745008,Hydrocephalus (disorder)
611,A17.89,Other tuberculosis of nervous system,230745008,Hydrocephalus (disorder)
612,E84,Cystic fibrosis,190905008,Cystic fibrosis (disorder)
613,I97.81,Intraoperative cerebrovascular infarction,230690007,Cerebrovascular accident (disorder)
614,I69.39,Other sequelae of cerebral infarction,230690007,Cerebrovascular accident (disorder)
615,I63.53,Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery,230690007,Cerebrovascular accident (disorder)
616,I63.51,Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery,230690007,Cerebrovascular accident (disorder)
617,I63.52,Cerebral infarction due to unspecified occlusion or stenosis of anterior cerebral artery,230690007,Cerebrovascular accident (disorder)
618,I63.29,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,230690007,Cerebrovascular accident (disorder)
619,I63.89,Other cerebral infarction,230690007,Cerebrovascular accident (disorder)
620,I63.59,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,230690007,Cerebrovascular accident (disorder)
621,Z78.9,Other specified health status,230690007,Cerebrovascular accident (disorder)
622,I63.54,Cerebral infarction due to unspecified occlusion or stenosis of cerebellar artery,230690007,Cerebrovascular accident (disorder)
623,I63.21,Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries,230690007,Cerebrovascular accident (disorder)
624,Z86.73,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",230690007,Cerebrovascular accident (disorder)
625,I60.7,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,230690007,Cerebrovascular accident (disorder)
626,I63.23,Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries,230690007,Cerebrovascular accident (disorder)
627,I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",230690007,Cerebrovascular accident (disorder)
628,I63.22,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,230690007,Cerebrovascular accident (disorder)
629,I63.20,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,230690007,Cerebrovascular accident (disorder)
630,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",230690007,Cerebrovascular accident (disorder)
631,I69.34,Monoplegia of lower limb following cerebral infarction,230690007,Cerebrovascular accident (disorder)
632,I69.33,Monoplegia of upper limb following cerebral infarction,230690007,Cerebrovascular accident (disorder)
633,I69.31,Cognitive deficits following cerebral infarction,230690007,Cerebrovascular accident (disorder)
634,I69.30,Unspecified sequelae of cerebral infarction,230690007,Cerebrovascular accident (disorder)
635,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",230690007,Cerebrovascular accident (disorder)
636,I63.50,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,230690007,Cerebrovascular accident (disorder)
637,I69.32,Speech and language deficits following cerebral infarction,230690007,Cerebrovascular accident (disorder)
638,I69.35,Hemiplegia and hemiparesis following cerebral infarction,230690007,Cerebrovascular accident (disorder)
639,I63.9,"Cerebral infarction, unspecified",230690007,Cerebrovascular accident (disorder)
640,I63.81,Other cerebral infarction due to occlusion or stenosis of small artery,230690007,Cerebrovascular accident (disorder)
641,M05.69,Rheumatoid arthritis of multiple sites with involvement of other organs and systems,69896004,Rheumatoid arthritis (disorder)
642,M65.83,"Other synovitis and tenosynovitis, forearm",69896004,Rheumatoid arthritis (disorder)
643,M05.60,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,69896004,Rheumatoid arthritis (disorder)
644,M05.30,Rheumatoid heart disease with rheumatoid arthritis of unspecified site,69896004,Rheumatoid arthritis (disorder)
645,M05.80,Other rheumatoid arthritis with rheumatoid factor of unspecified site,69896004,Rheumatoid arthritis (disorder)
646,M05.70,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,69896004,Rheumatoid arthritis (disorder)
647,M05.50,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,69896004,Rheumatoid arthritis (disorder)
648,M05.6,Rheumatoid arthritis with involvement of other organs and systems,69896004,Rheumatoid arthritis (disorder)
649,M06,Other rheumatoid arthritis,69896004,Rheumatoid arthritis (disorder)
650,M05.12,Rheumatoid lung disease with rheumatoid arthritis of elbow,69896004,Rheumatoid arthritis (disorder)
651,M05.8,Other rheumatoid arthritis with rheumatoid factor,69896004,Rheumatoid arthritis (disorder)
652,M05.16,Rheumatoid lung disease with rheumatoid arthritis of knee,69896004,Rheumatoid arthritis (disorder)
653,M05.7,Rheumatoid arthritis with rheumatoid factor without organ or systems involvement,69896004,Rheumatoid arthritis (disorder)
654,M45.9,Ankylosing spondylitis of unspecified sites in spine,69896004,Rheumatoid arthritis (disorder)
655,M79.0,"Rheumatism, unspecified",69896004,Rheumatoid arthritis (disorder)
655,R23.9,Unspecified skin changes,69896004,Rheumatoid arthritis (disorder)
656,M05.10,Rheumatoid lung disease with rheumatoid arthritis of unspecified site,69896004,Rheumatoid arthritis (disorder)
656,M05.20,Rheumatoid vasculitis with rheumatoid arthritis of unspecified site,69896004,Rheumatoid arthritis (disorder)
657,G89.29,Other chronic pain,82423001,Chronic pain (finding)
658,M25.56,Pain in knee,82423001,Chronic pain (finding)
659,S39.01,"Strain of muscle, fascia and tendon of abdomen, lower back and pelvis",82423001,Chronic pain (finding)
660,G89.3,Neoplasm related pain (acute) (chronic),82423001,Chronic pain (finding)
661,G89.4,Chronic pain syndrome,82423001,Chronic pain (finding)
662,S58.01,Complete traumatic amputation at elbow level,161621004,History of upper limb amputation (situation)
663,Z89.20,"Acquired absence of upper limb, unspecified level",161621004,History of upper limb amputation (situation)
664,S48.91,"Complete traumatic amputation of shoulder and upper arm, level unspecified",161621004,History of upper limb amputation (situation)
665,S58.11,Complete traumatic amputation at level between elbow and wrist,161621004,History of upper limb amputation (situation)
666,T87.50,"Necrosis of amputation stump, unspecified extremity",161621004,History of upper limb amputation (situation)
667,T87.30,"Neuroma of amputation stump, unspecified extremity",161621004,History of upper limb amputation (situation)
668,Z89.22,Acquired absence of upper limb above elbow,161621004,History of upper limb amputation (situation)
669,S48.11,Complete traumatic amputation at level between shoulder and elbow,161621004,History of upper limb amputation (situation)
670,Z89.9,"Acquired absence of limb, unspecified",161621004,History of upper limb amputation (situation)
671,Z89.11,Acquired absence of hand,161621004,History of upper limb amputation (situation)
672,Z89.23,Acquired absence of shoulder,161621004,History of upper limb amputation (situation)
673,Z89.21,Acquired absence of upper limb below elbow,161621004,History of upper limb amputation (situation)
674,J45.90,Unspecified asthma,10509002,Acute bronchitis (disorder)
675,J45.21,Mild intermittent asthma with (acute) exacerbation,10509002,Acute bronchitis (disorder)
676,J20,Acute bronchitis,10509002,Acute bronchitis (disorder)
677,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,10509002,Acute bronchitis (disorder)
678,J20.8,Acute bronchitis due to other specified organisms,10509002,Acute bronchitis (disorder)
678,B97.81,Human metapneumovirus as the cause of diseases classified elsewhere,10509002,Acute bronchitis (disorder)
679,K21,Gastro-esophageal reflux disease,235595009,Gastroesophageal reflux disease (disorder)
680,P78.83,Newborn esophageal reflux,235595009,Gastroesophageal reflux disease (disorder)
681,K81.0,Acute cholecystitis,65275009,Acute cholecystitis (disorder)
682,K80.63,Calculus of gallbladder and bile duct with acute cholecystitis with obstruction,65275009,Acute cholecystitis (disorder)
683,K80.62,Calculus of gallbladder and bile duct with acute cholecystitis without obstruction,65275009,Acute cholecystitis (disorder)
684,K91.86,Retained cholelithiasis following cholecystectomy,235919008,Gallbladder calculus (disorder)
685,K80.81,Other cholelithiasis with obstruction,235919008,Gallbladder calculus (disorder)
686,K80.2,Calculus of gallbladder without cholecystitis,235919008,Gallbladder calculus (disorder)
687,K80.70,Calculus of gallbladder and bile duct without cholecystitis without obstruction,235919008,Gallbladder calculus (disorder)
688,K80.20,Calculus of gallbladder without cholecystitis without obstruction,235919008,Gallbladder calculus (disorder)
689,D72.82,Elevated white blood cell count,386661006,Fever (finding)
690,P81.9,"Disturbance of temperature regulation of newborn, unspecified",386661006,Fever (finding)
691,M04.1,Periodic fever syndromes,386661006,Fever (finding)
692,R50.9,"Fever, unspecified",386661006,Fever (finding)
693,R50.81,Fever presenting with conditions classified elsewhere,386661006,Fever (finding)
694,R50.8,Other specified fever,386661006,Fever (finding)
695,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,386661006,Fever (finding)
696,R50.2,Drug induced fever,386661006,Fever (finding)
696,T49.0,"Poisoning by, adverse effect of and underdosing of local antifungal, anti-infective and anti-inflammatory drugs",386661006,Fever (finding)
697,R10.9,Unspecified abdominal pain,386661006,Fever (finding)
697,G89.18,Other acute postprocedural pain,386661006,Fever (finding)
697,R50.82,Postprocedural fever,386661006,Fever (finding)
698,G11.4,Hereditary spastic paraplegia,221360009,Spasticity (finding)
699,M62.40,"Contracture of muscle, unspecified site",221360009,Spasticity (finding)
700,R25.2,Cramp and spasm,221360009,Spasticity (finding)
701,M62.83,Muscle spasm,221360009,Spasticity (finding)
702,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",221360009,Spasticity (finding)
702,G81.12,Spastic hemiplegia affecting left dominant side,221360009,Spasticity (finding)
703,G81.14,Spastic hemiplegia affecting left nondominant side,221360009,Spasticity (finding)
703,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",221360009,Spasticity (finding)
704,G81.13,Spastic hemiplegia affecting right nondominant side,221360009,Spasticity (finding)
704,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",221360009,Spasticity (finding)
705,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",221360009,Spasticity (finding)
705,G81.11,Spastic hemiplegia affecting right dominant side,221360009,Spasticity (finding)
706,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",221360009,Spasticity (finding)
706,G81.14,Spastic hemiplegia affecting left nondominant side,221360009,Spasticity (finding)
707,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",221360009,Spasticity (finding)
707,G81.12,Spastic hemiplegia affecting left dominant side,221360009,Spasticity (finding)
708,G81.11,Spastic hemiplegia affecting right dominant side,221360009,Spasticity (finding)
708,I67.89,Other cerebrovascular disease,221360009,Spasticity (finding)
709,G81.14,Spastic hemiplegia affecting left nondominant side,221360009,Spasticity (finding)
709,I67.89,Other cerebrovascular disease,221360009,Spasticity (finding)
710,I67.89,Other cerebrovascular disease,221360009,Spasticity (finding)
710,G81.12,Spastic hemiplegia affecting left dominant side,221360009,Spasticity (finding)
711,G81.11,Spastic hemiplegia affecting right dominant side,221360009,Spasticity (finding)
711,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified",221360009,Spasticity (finding)
712,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",221360009,Spasticity (finding)
712,G81.13,Spastic hemiplegia affecting right nondominant side,221360009,Spasticity (finding)
713,G81.13,Spastic hemiplegia affecting right nondominant side,221360009,Spasticity (finding)
713,I67.89,Other cerebrovascular disease,221360009,Spasticity (finding)
714,D01.0,Carcinoma in situ of colon,93761005,Primary malignant neoplasm of colon (disorder)
715,C49.A4,Gastrointestinal stromal tumor of large intestine,93761005,Primary malignant neoplasm of colon (disorder)
716,C18.9,"Malignant neoplasm of colon, unspecified",93761005,Primary malignant neoplasm of colon (disorder)
717,C18.8,Malignant neoplasm of overlapping sites of colon,93761005,Primary malignant neoplasm of colon (disorder)
717,C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,93761005,Primary malignant neoplasm of colon (disorder)
718,J98.01,Acute bronchospasm,49727002,Cough (finding)
719,J06.9,"Acute upper respiratory infection, unspecified",49727002,Cough (finding)
720,R05,Cough,49727002,Cough (finding)
721,B08.8,Other specified viral infections characterized by skin and mucous membrane lesions,195662009,Acute viral pharyngitis (disorder)
722,B08.5,Enteroviral vesicular pharyngitis,195662009,Acute viral pharyngitis (disorder)
723,J02.9,"Acute pharyngitis, unspecified",195662009,Acute viral pharyngitis (disorder)
724,M79.7,Fibromyalgia,95417003,Primary fibromyalgia syndrome (disorder)
725,S63.59,Other specified sprain of wrist,70704007,Sprain of wrist (disorder)
726,S63.50,Unspecified sprain of wrist,70704007,Sprain of wrist (disorder)
727,S69.91,"Unspecified injury of right wrist, hand and finger(s)",70704007,Sprain of wrist (disorder)
728,S69.92,"Unspecified injury of left wrist, hand and finger(s)",70704007,Sprain of wrist (disorder)
729,S69.90,"Unspecified injury of unspecified wrist, hand and finger(s)",70704007,Sprain of wrist (disorder)
730,I82.42,Acute embolism and thrombosis of iliac vein,132281000119108,Acute deep venous thrombosis (disorder)
731,I82.40,Acute embolism and thrombosis of unspecified deep veins of lower extremity,132281000119108,Acute deep venous thrombosis (disorder)
732,I82.C13,"Acute embolism and thrombosis of internal jugular vein, bilateral",132281000119108,Acute deep venous thrombosis (disorder)
733,I82.90,Acute embolism and thrombosis of unspecified vein,132281000119108,Acute deep venous thrombosis (disorder)
734,I82.B13,"Acute embolism and thrombosis of subclavian vein, bilateral",132281000119108,Acute deep venous thrombosis (disorder)
735,I82.B19,Acute embolism and thrombosis of unspecified subclavian vein,132281000119108,Acute deep venous thrombosis (disorder)
736,I82.B11,Acute embolism and thrombosis of right subclavian vein,132281000119108,Acute deep venous thrombosis (disorder)
737,I82.B12,Acute embolism and thrombosis of left subclavian vein,132281000119108,Acute deep venous thrombosis (disorder)
738,I82.C11,Acute embolism and thrombosis of right internal jugular vein,132281000119108,Acute deep venous thrombosis (disorder)
739,I82.C12,Acute embolism and thrombosis of left internal jugular vein,132281000119108,Acute deep venous thrombosis (disorder)
740,I82.C19,Acute embolism and thrombosis of unspecified internal jugular vein,132281000119108,Acute deep venous thrombosis (disorder)
741,S13.4,Sprain of ligaments of cervical spine,39848009,Whiplash injury to neck (disorder)
742,I26.90,Septic pulmonary embolism without acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
743,I26.99,Other pulmonary embolism without acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
744,I26.09,Other pulmonary embolism with acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
745,I26.92,Saddle embolus of pulmonary artery without acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
746,I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
747,I26.01,Septic pulmonary embolism with acute cor pulmonale,706870000,Acute pulmonary embolism (disorder)
748,G43.71,"Chronic migraine without aura, intractable",124171000119105,Chronic intractable migraine without aura (disorder)
749,G43.70,"Chronic migraine without aura, not intractable",124171000119105,Chronic intractable migraine without aura (disorder)
750,K36,Other appendicitis,74400008,Appendicitis (disorder)
751,K35.89,Other acute appendicitis,74400008,Appendicitis (disorder)
752,K35.33,"Acute appendicitis with perforation and localized peritonitis, with abscess",74400008,Appendicitis (disorder)
753,K37,Unspecified appendicitis,74400008,Appendicitis (disorder)
754,A42.1,Abdominal actinomycosis,74400008,Appendicitis (disorder)
755,Z90.49,Acquired absence of other specified parts of digestive tract,428251008,History of appendectomy (situation)
756,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,428251008,History of appendectomy (situation)
757,K01.1,Impacted teeth,196416002,Impacted molars (disorder)
758,O03.86,Cardiac arrest following complete or unspecified spontaneous abortion,410429000,Cardiac arrest (disorder)
759,I97.12,Postprocedural cardiac arrest,410429000,Cardiac arrest (disorder)
760,I97.71,Intraoperative cardiac arrest,410429000,Cardiac arrest (disorder)
761,I46,Cardiac arrest,410429000,Cardiac arrest (disorder)
762,O08.81,Cardiac arrest following an ectopic and molar pregnancy,410429000,Cardiac arrest (disorder)
763,O29.11,Cardiac arrest due to anesthesia during pregnancy,410429000,Cardiac arrest (disorder)
764,O07.36,Cardiac arrest following failed attempted termination of pregnancy,410429000,Cardiac arrest (disorder)
765,K62.5,Hemorrhage of anus and rectum,6072007,Bleeding from anus (disorder)
766,Z86.74,Personal history of sudden cardiac arrest,429007001,History of cardiac arrest (situation)
767,M96.63,"Fracture of radius or ulna following insertion of orthopedic implant, joint prosthesis, or bone plate",65966004,Fracture of forearm (disorder)
768,S52,Fracture of forearm,65966004,Fracture of forearm (disorder)
769,R19.7,"Diarrhea, unspecified",236077008,Protracted diarrhea (finding)
770,A50.49,Other late congenital neurosyphilis,128188000,Cerebral palsy (disorder)
771,G80,Cerebral palsy,128188000,Cerebral palsy (disorder)
772,Z82.0,Family history of epilepsy and other diseases of the nervous system,128188000,Cerebral palsy (disorder)
773,G40.91,"Epilepsy, unspecified, intractable",128613002,Seizure disorder (disorder)
774,G40.30,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable",128613002,Seizure disorder (disorder)
775,G40.89,Other seizures,128613002,Seizure disorder (disorder)
776,R56.9,Unspecified convulsions,128613002,Seizure disorder (disorder)
777,Z91.89,"Other specified personal risk factors, not elsewhere classified",128613002,Seizure disorder (disorder)
778,P90,Convulsions of newborn,128613002,Seizure disorder (disorder)
779,G40.90,"Epilepsy, unspecified, not intractable",128613002,Seizure disorder (disorder)
780,I45.5,Other specified heart block,128613002,Seizure disorder (disorder)
780,F79,Unspecified intellectual disabilities,128613002,Seizure disorder (disorder)
780,R56.00,Simple febrile convulsions,128613002,Seizure disorder (disorder)
780,H18.60,"Keratoconus, unspecified",128613002,Seizure disorder (disorder)
781,X78.9,Intentional self-harm by unspecified sharp object,287185009,Attempted suicide - cut/stab (event)
782,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,448417001,Sepsis caused by Staphylococcus aureus (disorder)
783,A41.0,Sepsis due to Staphylococcus aureus,448417001,Sepsis caused by Staphylococcus aureus (disorder)
784,M35.81,Multisystem inflammatory syndrome,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
785,U07.1,COVID-19,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
786,D89.83,Cytokine release syndrome,840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder)
787,E11.31,Type 2 diabetes mellitus with unspecified diabetic retinopathy,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
788,E11.33,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
789,E11.32,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
790,E11.34,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
791,E11.35,Type 2 diabetes mellitus with proliferative diabetic retinopathy,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
791,E11.65,Type 2 diabetes mellitus with hyperglycemia,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
792,O03.89,Complete or unspecified spontaneous abortion with other complications,156073000,Complete miscarriage (disorder)
793,O03.80,Unspecified complication following complete or unspecified spontaneous abortion,156073000,Complete miscarriage (disorder)
794,O03.9,Complete or unspecified spontaneous abortion without complication,156073000,Complete miscarriage (disorder)
795,Z89.12,Acquired absence of wrist,698423002,History of disarticulation at wrist (situation)
796,Z86.69,Personal history of other diseases of the nervous system and sense organs,703151001,History of single seizure (situation)
797,H11.89,Other specified disorders of conjunctiva,246677007,Passive conjunctival congestion (finding)
798,G95.9,"Disease of spinal cord, unspecified",698754002,Chronic paralysis due to lesion of spinal cord
799,G83.9,"Paralytic syndrome, unspecified",698754002,Chronic paralysis due to lesion of spinal cord
800,Z20.82,Contact with and (suspected) exposure to other viral communicable diseases,840544004,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation)
801,J01.90,"Acute sinusitis, unspecified",444814009,Viral sinusitis (disorder)
802,B97.89,Other viral agents as the cause of diseases classified elsewhere,444814009,Viral sinusitis (disorder)
802,J32.9,"Chronic sinusitis, unspecified",444814009,Viral sinusitis (disorder)
803,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,425048006,"Non-small cell carcinoma of lung, TNM stage 2 (disorder)"
804,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,425048006,"Non-small cell carcinoma of lung, TNM stage 2 (disorder)"
805,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,425048006,"Non-small cell carcinoma of lung, TNM stage 2 (disorder)"
806,E11.65,Type 2 diabetes mellitus with hyperglycemia,80394007,Hyperglycemia (disorder)
807,E10.65,Type 1 diabetes mellitus with hyperglycemia,80394007,Hyperglycemia (disorder)
808,E13.65,Other specified diabetes mellitus with hyperglycemia,80394007,Hyperglycemia (disorder)
809,R73,Elevated blood glucose level,80394007,Hyperglycemia (disorder)
810,E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma,80394007,Hyperglycemia (disorder)
811,R19.7,"Diarrhea, unspecified",267060006,Diarrhea symptom (finding)
812,J30.89,Other allergic rhinitis,446096008,Perennial allergic rhinitis (disorder)
813,T50.91,"Poisoning by, adverse effect of and underdosing of multiple unspecified drugs, medicaments and biological substances",55680006,Drug overdose (disorder)
814,T46.0,"Poisoning by, adverse effect of and underdosing of cardiac-stimulant glycosides and drugs of similar action",55680006,Drug overdose (disorder)
815,T45.0,"Poisoning by, adverse effect of and underdosing of antiallergic and antiemetic drugs",55680006,Drug overdose (disorder)
816,T50.90,"Poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances",55680006,Drug overdose (disorder)
817,T45.51,"Poisoning by, adverse effect of and underdosing of anticoagulants",55680006,Drug overdose (disorder)
818,R11.10,"Vomiting, unspecified",249497008,Vomiting symptom (finding)
819,M17,Osteoarthritis of knee,239873007,Osteoarthritis of knee (disorder)
820,R09.81,Nasal congestion,68235000,Nasal congestion (finding)
821,P28.89,Other specified respiratory conditions of newborn,68235000,Nasal congestion (finding)
822,J34.89,Other specified disorders of nose and nasal sinuses,68235000,Nasal congestion (finding)
823,R11.0,Nausea,422587007,Nausea (finding)
824,T31.95,Burns involving 90% or more of body surface with 50-59% third degree burns,403192003,Full thickness burn (disorder)
825,T31.93,Burns involving 90% or more of body surface with 30-39% third degree burns,403192003,Full thickness burn (disorder)
826,T31.98,Burns involving 90% or more of body surface with 80-89% third degree burns,403192003,Full thickness burn (disorder)
827,T31.97,Burns involving 90% or more of body surface with 70-79% third degree burns,403192003,Full thickness burn (disorder)
828,T31.94,Burns involving 90% or more of body surface with 40-49% third degree burns,403192003,Full thickness burn (disorder)
829,T31.96,Burns involving 90% or more of body surface with 60-69% third degree burns,403192003,Full thickness burn (disorder)
830,T31.99,Burns involving 90% or more of body surface with 90% or more third degree burns,403192003,Full thickness burn (disorder)
831,T26.40,"Burn of unspecified eye and adnexa, part unspecified",403192003,Full thickness burn (disorder)
832,T26.41,"Burn of right eye and adnexa, part unspecified",403192003,Full thickness burn (disorder)
833,T31.11,Burns involving 10-19% of body surface with 10-19% third degree burns,403192003,Full thickness burn (disorder)
834,T21.36,Burn of third degree of male genital region,403192003,Full thickness burn (disorder)
835,T20.34,Burn of third degree of nose (septum),403192003,Full thickness burn (disorder)
836,T30.0,"Burn of unspecified body region, unspecified degree",403192003,Full thickness burn (disorder)
837,T31.40,Burns involving 40-49% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
838,T31.50,Burns involving 50-59% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
839,T31.10,Burns involving 10-19% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
840,T31.60,Burns involving 60-69% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
841,T31.80,Burns involving 80-89% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
842,T31.30,Burns involving 30-39% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
843,T31.92,Burns involving 90% or more of body surface with 20-29% third degree burns,403192003,Full thickness burn (disorder)
844,T31.3,Burns involving 30-39% of body surface,403192003,Full thickness burn (disorder)
845,T31.2,Burns involving 20-29% of body surface,403192003,Full thickness burn (disorder)
846,T31.70,Burns involving 70-79% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
847,T31.90,Burns involving 90% or more of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
848,T32.11,Corrosions involving 10-19% of body surface with 10-19% third degree corrosion,403192003,Full thickness burn (disorder)
849,T32.0,Corrosions involving less than 10% of body surface,403192003,Full thickness burn (disorder)
850,T32.10,Corrosions involving 10-19% of body surface with 0% to 9% third degree corrosion,403192003,Full thickness burn (disorder)
851,T31.20,Burns involving 20-29% of body surface with 0% to 9% third degree burns,403192003,Full thickness burn (disorder)
852,T31.0,Burns involving less than 10% of body surface,403192003,Full thickness burn (disorder)
853,T24.39,"Burn of third degree of multiple sites of lower limb, except ankle and foot",403192003,Full thickness burn (disorder)
854,T30.4,"Corrosion of unspecified body region, unspecified degree",403192003,Full thickness burn (disorder)
855,T31.91,Burns involving 90% or more of body surface with 10-19% third degree burns,403192003,Full thickness burn (disorder)
856,T31.4,Burns involving 40-49% of body surface,403192003,Full thickness burn (disorder)
857,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403192003,Full thickness burn (disorder)
857,T25.31,Burn of third degree of ankle,403192003,Full thickness burn (disorder)
858,T20.30,"Burn of third degree of head, face, and neck, unspecified site",403192003,Full thickness burn (disorder)
