id,icd_code,icd_description,snomed,snomed_concept_name
523,S89.91,Unspecified injury of right lower leg,444470001,Injury of anterior cruciate ligament (disorder)
524,K59.0,Constipation,14760008,Constipation (finding)
525,P78.89,Other specified perinatal digestive system disorders,14760008,Constipation (finding)
526,K59.00,"Constipation, unspecified",14760008,Constipation (finding)
527,K59.09,Other constipation,14760008,Constipation (finding)
528,K59.02,Outlet dysfunction constipation,14760008,Constipation (finding)
529,E13.10,Other specified diabetes mellitus with ketoacidosis without coma,44054006,Diabetes mellitus type 2 (disorder)
530,E13.11,Other specified diabetes mellitus with ketoacidosis with coma,44054006,Diabetes mellitus type 2 (disorder)
531,E11,Type 2 diabetes mellitus,44054006,Diabetes mellitus type 2 (disorder)
532,L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
532,E11.621,Type 2 diabetes mellitus with foot ulcer,44054006,Diabetes mellitus type 2 (disorder)
533,E11.621,Type 2 diabetes mellitus with foot ulcer,44054006,Diabetes mellitus type 2 (disorder)
533,L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
534,E11.621,Type 2 diabetes mellitus with foot ulcer,44054006,Diabetes mellitus type 2 (disorder)
534,L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
535,E11.622,Type 2 diabetes mellitus with other skin ulcer,44054006,Diabetes mellitus type 2 (disorder)
535,L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
536,L97.309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
536,E11.622,Type 2 diabetes mellitus with other skin ulcer,44054006,Diabetes mellitus type 2 (disorder)
537,E11.621,Type 2 diabetes mellitus with foot ulcer,44054006,Diabetes mellitus type 2 (disorder)
537,L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,44054006,Diabetes mellitus type 2 (disorder)
538,L83,Acanthosis nigricans,44054006,Diabetes mellitus type 2 (disorder)
538,E13.628,Other specified diabetes mellitus with other skin complications,44054006,Diabetes mellitus type 2 (disorder)
539,O30.093,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester",47200007,High risk pregnancy (finding)
540,O09,Supervision of high risk pregnancy,47200007,High risk pregnancy (finding)
541,O30.092,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester",47200007,High risk pregnancy (finding)
542,Z87.59,"Personal history of other complications of pregnancy, childbirth and the puerperium",47200007,High risk pregnancy (finding)
543,O30.09,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs",47200007,High risk pregnancy (finding)
544,O26.2,Pregnancy care for patient with recurrent pregnancy loss,47200007,High risk pregnancy (finding)
545,O99.330,"Smoking (tobacco) complicating pregnancy, unspecified trimester",47200007,High risk pregnancy (finding)
546,O30.091,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester",47200007,High risk pregnancy (finding)
547,O26.20,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester",47200007,High risk pregnancy (finding)
548,Z91.89,"Other specified personal risk factors, not elsewhere classified",47200007,High risk pregnancy (finding)
549,O30.002,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",47200007,High risk pregnancy (finding)
550,O99.332,"Smoking (tobacco) complicating pregnancy, second trimester",47200007,High risk pregnancy (finding)
551,O26.21,"Pregnancy care for patient with recurrent pregnancy loss, first trimester",47200007,High risk pregnancy (finding)
552,O99.331,"Smoking (tobacco) complicating pregnancy, first trimester",47200007,High risk pregnancy (finding)
553,O30.003,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester",47200007,High risk pregnancy (finding)
554,O99.333,"Smoking (tobacco) complicating pregnancy, third trimester",47200007,High risk pregnancy (finding)
555,O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester",47200007,High risk pregnancy (finding)
556,O30.001,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester",47200007,High risk pregnancy (finding)
557,O30.099,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester",47200007,High risk pregnancy (finding)
558,O26.22,"Pregnancy care for patient with recurrent pregnancy loss, second trimester",47200007,High risk pregnancy (finding)
559,O30.009,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester",47200007,High risk pregnancy (finding)
560,Z86.79,Personal history of other diseases of the circulatory system,47200007,High risk pregnancy (finding)
561,O99.322,"Drug use complicating pregnancy, second trimester",47200007,High risk pregnancy (finding)
561,F19.10,"Other psychoactive substance abuse, uncomplicated",47200007,High risk pregnancy (finding)
562,O99.322,"Drug use complicating pregnancy, second trimester",47200007,High risk pregnancy (finding)
562,F11.20,"Opioid dependence, uncomplicated",47200007,High risk pregnancy (finding)
563,O99.321,"Drug use complicating pregnancy, first trimester",47200007,High risk pregnancy (finding)
563,F19.10,"Other psychoactive substance abuse, uncomplicated",47200007,High risk pregnancy (finding)
564,O99.321,"Drug use complicating pregnancy, first trimester",47200007,High risk pregnancy (finding)
564,F11.20,"Opioid dependence, uncomplicated",47200007,High risk pregnancy (finding)
565,O99.323,"Drug use complicating pregnancy, third trimester",47200007,High risk pregnancy (finding)
565,F11.20,"Opioid dependence, uncomplicated",47200007,High risk pregnancy (finding)
566,O99.323,"Drug use complicating pregnancy, third trimester",47200007,High risk pregnancy (finding)
566,F19.10,"Other psychoactive substance abuse, uncomplicated",47200007,High risk pregnancy (finding)
567,O99.891,Other specified diseases and conditions complicating pregnancy,47200007,High risk pregnancy (finding)
567,Z86.59,Personal history of other mental and behavioral disorders,47200007,High risk pregnancy (finding)
568,O99.320,"Drug use complicating pregnancy, unspecified trimester",47200007,High risk pregnancy (finding)
568,F11.20,"Opioid dependence, uncomplicated",47200007,High risk pregnancy (finding)
569,O99.320,"Drug use complicating pregnancy, unspecified trimester",47200007,High risk pregnancy (finding)
569,F19.10,"Other psychoactive substance abuse, uncomplicated",47200007,High risk pregnancy (finding)
570,J03.00,"Acute streptococcal tonsillitis, unspecified",43878008,Streptococcal sore throat (disorder)
571,J02.0,Streptococcal pharyngitis,43878008,Streptococcal sore throat (disorder)
572,J98.8,Other specified respiratory disorders,56018004,Wheezing (finding)
573,J45.31,Mild persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
574,J45.41,Moderate persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
575,J45.30,"Mild persistent asthma, uncomplicated",56018004,Wheezing (finding)
576,J45.40,"Moderate persistent asthma, uncomplicated",56018004,Wheezing (finding)
577,J45.42,Moderate persistent asthma with status asthmaticus,56018004,Wheezing (finding)
578,J45.20,"Mild intermittent asthma, uncomplicated",56018004,Wheezing (finding)
579,J45.902,Unspecified asthma with status asthmaticus,56018004,Wheezing (finding)
580,J45.50,"Severe persistent asthma, uncomplicated",56018004,Wheezing (finding)
581,J45.51,Severe persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
582,J45.22,Mild intermittent asthma with status asthmaticus,56018004,Wheezing (finding)
583,J45.52,Severe persistent asthma with status asthmaticus,56018004,Wheezing (finding)
584,J45.909,"Unspecified asthma, uncomplicated",56018004,Wheezing (finding)
585,R06.2,Wheezing,56018004,Wheezing (finding)
586,J45.21,Mild intermittent asthma with (acute) exacerbation,56018004,Wheezing (finding)
587,J45.32,Mild persistent asthma with status asthmaticus,56018004,Wheezing (finding)
588,A54.21,Gonococcal infection of kidney and ureter,45816000,Pyelonephritis (disorder)
589,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",45816000,Pyelonephritis (disorder)
590,Q05.9,"Spina bifida, unspecified",414667000,Meningomyelocele (disorder)
591,Q05.3,Sacral spina bifida with hydrocephalus,414667000,Meningomyelocele (disorder)
592,O35.0,Maternal care for (suspected) central nervous system malformation in fetus,414667000,Meningomyelocele (disorder)
593,Q05.6,Thoracic spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
594,Q05.7,Lumbar spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
595,Q05.5,Cervical spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
596,Q79.8,Other congenital malformations of musculoskeletal system,302297009,Congenital deformity of foot (disorder)
597,Q66,Congenital deformities of feet,302297009,Congenital deformity of foot (disorder)
598,Q70.4,"Polysyndactyly, unspecified",302297009,Congenital deformity of foot (disorder)
599,Q74.2,"Other congenital malformations of lower limb(s), including pelvic girdle",302297009,Congenital deformity of foot (disorder)
600,M24.852,"Other specific joint derangements of left hip, not elsewhere classified",157265008,Dislocation of hip joint (disorder)
601,M24.851,"Other specific joint derangements of right hip, not elsewhere classified",157265008,Dislocation of hip joint (disorder)
602,S73.025,Obturator dislocation of left hip,157265008,Dislocation of hip joint (disorder)
603,S73.015,Posterior dislocation of left hip,157265008,Dislocation of hip joint (disorder)
604,S73.014,Posterior dislocation of right hip,157265008,Dislocation of hip joint (disorder)
605,S73.045,Central dislocation of left hip,157265008,Dislocation of hip joint (disorder)
606,S73.044,Central dislocation of right hip,157265008,Dislocation of hip joint (disorder)
607,S73.024,Obturator dislocation of right hip,157265008,Dislocation of hip joint (disorder)
608,S73.046,Central dislocation of unspecified hip,157265008,Dislocation of hip joint (disorder)
609,S73.035,Other anterior dislocation of left hip,157265008,Dislocation of hip joint (disorder)
610,M24.859,"Other specific joint derangements of unspecified hip, not elsewhere classified",157265008,Dislocation of hip joint (disorder)
611,S73.03,Other anterior subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
612,S73.034,Other anterior dislocation of right hip,157265008,Dislocation of hip joint (disorder)
613,S73.036,Other anterior dislocation of unspecified hip,157265008,Dislocation of hip joint (disorder)
614,S73.026,Obturator dislocation of unspecified hip,157265008,Dislocation of hip joint (disorder)
615,S73.006,Unspecified dislocation of unspecified hip,157265008,Dislocation of hip joint (disorder)
616,S73.004,Unspecified dislocation of right hip,157265008,Dislocation of hip joint (disorder)
617,S73.005,Unspecified dislocation of left hip,157265008,Dislocation of hip joint (disorder)
618,F79,Unspecified intellectual disabilities,157265008,Dislocation of hip joint (disorder)
618,D75.A,Glucose-6-phosphate dehydrogenase (G6PD) deficiency without anemia,157265008,Dislocation of hip joint (disorder)
618,Q65.2,"Congenital dislocation of hip, unspecified",157265008,Dislocation of hip joint (disorder)
619,R09.02,Hypoxemia,389087006,Hypoxemia (disorder)
620,E66.9,"Obesity, unspecified",389087006,Hypoxemia (disorder)
620,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
621,J43.9,"Emphysema, unspecified",389087006,Hypoxemia (disorder)
621,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
622,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
622,J44.9,"Chronic obstructive pulmonary disease, unspecified",389087006,Hypoxemia (disorder)
623,I27.29,Other secondary pulmonary hypertension,389087006,Hypoxemia (disorder)
623,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
624,O99.519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester",233604007,Pneumonia (disorder)
625,J18.0,"Bronchopneumonia, unspecified organism",233604007,Pneumonia (disorder)
626,J17,Pneumonia in diseases classified elsewhere,233604007,Pneumonia (disorder)
627,Z83.6,Family history of other diseases of the respiratory system,233604007,Pneumonia (disorder)
628,J18.9,"Pneumonia, unspecified organism",233604007,Pneumonia (disorder)
629,J82.89,"Other pulmonary eosinophilia, not elsewhere classified",233604007,Pneumonia (disorder)
630,S06.9,Unspecified intracranial injury,127295002,Traumatic brain injury (disorder)
631,S02.0,Fracture of vault of skull,127295002,Traumatic brain injury (disorder)
632,S06.890,Other specified intracranial injury without loss of consciousness,127295002,Traumatic brain injury (disorder)
633,S06.339,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration",127295002,Traumatic brain injury (disorder)
634,S06.37,"Contusion, laceration, and hemorrhage of cerebellum",127295002,Traumatic brain injury (disorder)
635,S06.38,"Contusion, laceration, and hemorrhage of brainstem",127295002,Traumatic brain injury (disorder)
636,S06.2,Diffuse traumatic brain injury,127295002,Traumatic brain injury (disorder)
637,Z87.820,Personal history of traumatic brain injury,127295002,Traumatic brain injury (disorder)
638,Z13.850,Encounter for screening for traumatic brain injury,127295002,Traumatic brain injury (disorder)
639,S02.109,"Fracture of base of skull, unspecified side",127295002,Traumatic brain injury (disorder)
639,S06.309,Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration,127295002,Traumatic brain injury (disorder)
640,S02.109,"Fracture of base of skull, unspecified side",127295002,Traumatic brain injury (disorder)
640,S06.0,Concussion,127295002,Traumatic brain injury (disorder)
641,S06.330,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness",127295002,Traumatic brain injury (disorder)
641,S02.109,"Fracture of base of skull, unspecified side",127295002,Traumatic brain injury (disorder)
642,S06.330,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness",127295002,Traumatic brain injury (disorder)
642,S02.91,Unspecified fracture of skull,127295002,Traumatic brain injury (disorder)
643,M25.59,Pain in other specified joint,57676002,Joint pain (finding)
644,T84.84,"Pain due to internal orthopedic prosthetic devices, implants and grafts",57676002,Joint pain (finding)
645,M25.50,Pain in unspecified joint,57676002,Joint pain (finding)
646,R07.89,Other chest pain,57676002,Joint pain (finding)
647,M25.569,Pain in unspecified knee,57676002,Joint pain (finding)
648,M25.532,Pain in left wrist,57676002,Joint pain (finding)
649,M25.531,Pain in right wrist,57676002,Joint pain (finding)
650,M25.539,Pain in unspecified wrist,57676002,Joint pain (finding)
651,E84.8,Cystic fibrosis with other manifestations,57676002,Joint pain (finding)
652,M54.9,"Dorsalgia, unspecified",57676002,Joint pain (finding)
653,M25.5,Pain in joint,57676002,Joint pain (finding)
654,A69.20,"Lyme disease, unspecified",57676002,Joint pain (finding)
655,M25.561,Pain in right knee,57676002,Joint pain (finding)
656,M25.562,Pain in left knee,57676002,Joint pain (finding)
657,M19.90,"Unspecified osteoarthritis, unspecified site",57676002,Joint pain (finding)
658,O02.1,Missed abortion,19169002,Miscarriage in first trimester (disorder)
659,O03.9,Complete or unspecified spontaneous abortion without complication,19169002,Miscarriage in first trimester (disorder)
660,P22.0,Respiratory distress syndrome of newborn,271825005,Respiratory distress (finding)
661,R06.00,"Dyspnea, unspecified",271825005,Respiratory distress (finding)
662,R06.03,Acute respiratory distress,271825005,Respiratory distress (finding)
663,R06.09,Other forms of dyspnea,271825005,Respiratory distress (finding)
663,T40.605,Adverse effect of unspecified narcotics,271825005,Respiratory distress (finding)
664,Q07.01,Arnold-Chiari syndrome with spina bifida,373587001,Chiari malformation type II (disorder)
665,L02.91,"Cutaneous abscess, unspecified",22253000,Pain (finding)
666,D57.419,"Sickle-cell thalassemia, unspecified, with crisis",22253000,Pain (finding)
667,G95.9,"Disease of spinal cord, unspecified",22253000,Pain (finding)
668,K13.0,Diseases of lips,22253000,Pain (finding)
669,I21.9,"Acute myocardial infarction, unspecified",22253000,Pain (finding)
670,H57.10,"Ocular pain, unspecified eye",22253000,Pain (finding)
671,K05.30,"Chronic periodontitis, unspecified",22253000,Pain (finding)
672,K11.8,Other diseases of salivary glands,22253000,Pain (finding)
673,D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified",22253000,Pain (finding)
674,R07.0,Pain in throat,22253000,Pain (finding)
675,K02.9,"Dental caries, unspecified",22253000,Pain (finding)
676,G89,"Pain, not elsewhere classified",22253000,Pain (finding)
677,M79.606,"Pain in leg, unspecified",22253000,Pain (finding)
678,D57.00,"Hb-SS disease with crisis, unspecified",22253000,Pain (finding)
679,H57.13,"Ocular pain, bilateral",22253000,Pain (finding)
680,R07.1,Chest pain on breathing,22253000,Pain (finding)
681,R07.2,Precordial pain,22253000,Pain (finding)
682,I83.813,Varicose veins of bilateral lower extremities with pain,22253000,Pain (finding)
683,M79.609,Pain in unspecified limb,22253000,Pain (finding)
684,H57.12,"Ocular pain, left eye",22253000,Pain (finding)
685,N94.89,Other specified conditions associated with female genital organs and menstrual cycle,22253000,Pain (finding)
686,H92.03,"Otalgia, bilateral",22253000,Pain (finding)
687,I83.819,Varicose veins of unspecified lower extremity with pain,22253000,Pain (finding)
688,M25.519,Pain in unspecified shoulder,22253000,Pain (finding)
689,K94.19,Other complications of enterostomy,22253000,Pain (finding)
690,M25.511,Pain in right shoulder,22253000,Pain (finding)
691,N20.0,Calculus of kidney,22253000,Pain (finding)
692,L74.9,"Eccrine sweat disorder, unspecified",22253000,Pain (finding)
693,L98.9,"Disorder of the skin and subcutaneous tissue, unspecified",22253000,Pain (finding)
694,H57.11,"Ocular pain, right eye",22253000,Pain (finding)
695,M25.512,Pain in left shoulder,22253000,Pain (finding)
696,R52,"Pain, unspecified",22253000,Pain (finding)
697,H02.849,"Edema of unspecified eye, unspecified eyelid",22253000,Pain (finding)
697,H02.89,Other specified disorders of eyelid,22253000,Pain (finding)
698,F41.1,Generalized anxiety disorder,22253000,Pain (finding)
698,F45.42,Pain disorder with related psychological factors,22253000,Pain (finding)
699,T82.848,"Pain due to vascular prosthetic devices, implants and grafts",22253000,Pain (finding)
699,T82.828,"Fibrosis due to vascular prosthetic devices, implants and grafts",22253000,Pain (finding)
700,M79.673,Pain in unspecified foot,22253000,Pain (finding)
700,Q74.2,"Other congenital malformations of lower limb(s), including pelvic girdle",22253000,Pain (finding)
701,H65.197,"Other acute nonsuppurative otitis media recurrent, unspecified ear",65363002,Otitis media (disorder)
702,H65.194,"Other acute nonsuppurative otitis media, recurrent, right ear",65363002,Otitis media (disorder)
703,H65.196,"Other acute nonsuppurative otitis media, recurrent, bilateral",65363002,Otitis media (disorder)
704,H65.195,"Other acute nonsuppurative otitis media, recurrent, left ear",65363002,Otitis media (disorder)
705,H65.93,"Unspecified nonsuppurative otitis media, bilateral",65363002,Otitis media (disorder)
706,H65.91,"Unspecified nonsuppurative otitis media, right ear",65363002,Otitis media (disorder)
707,H65.92,"Unspecified nonsuppurative otitis media, left ear",65363002,Otitis media (disorder)
708,A38.0,Scarlet fever with otitis media,65363002,Otitis media (disorder)
709,H66.9,"Otitis media, unspecified",65363002,Otitis media (disorder)
710,H67,Otitis media in diseases classified elsewhere,65363002,Otitis media (disorder)
711,H66.92,"Otitis media, unspecified, left ear",65363002,Otitis media (disorder)
712,H65.90,"Unspecified nonsuppurative otitis media, unspecified ear",65363002,Otitis media (disorder)
713,H66.93,"Otitis media, unspecified, bilateral",65363002,Otitis media (disorder)
714,H66.91,"Otitis media, unspecified, right ear",65363002,Otitis media (disorder)
715,H66.90,"Otitis media, unspecified, unspecified ear",65363002,Otitis media (disorder)
716,Z86.69,Personal history of other diseases of the nervous system and sense organs,65363002,Otitis media (disorder)
716,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,65363002,Otitis media (disorder)
717,R06.00,"Dyspnea, unspecified",267036007,Dyspnea (finding)
718,R06.02,Shortness of breath,267036007,Dyspnea (finding)
719,I50.9,"Heart failure, unspecified",267036007,Dyspnea (finding)
720,R06.81,"Apnea, not elsewhere classified",267036007,Dyspnea (finding)
721,T70.29,Other effects of high altitude,267036007,Dyspnea (finding)
722,R06.0,Dyspnea,267036007,Dyspnea (finding)
723,R06.09,Other forms of dyspnea,267036007,Dyspnea (finding)
724,M54.5,Low back pain,278860009,Chronic low back pain (finding)
725,M54.40,"Lumbago with sciatica, unspecified side",278860009,Chronic low back pain (finding)
725,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
726,M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
726,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
727,M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
727,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
728,N18.30,"Chronic kidney disease, stage 3 unspecified",433144002,Chronic kidney disease stage 3 (disorder)
729,N18.4,"Chronic kidney disease, stage 4 (severe)",433144002,Chronic kidney disease stage 3 (disorder)
730,N18.31,"Chronic kidney disease, stage 3a",433144002,Chronic kidney disease stage 3 (disorder)
731,N18.32,"Chronic kidney disease, stage 3b",433144002,Chronic kidney disease stage 3 (disorder)
732,N18.3,"Chronic kidney disease, stage 3 (moderate)",433144002,Chronic kidney disease stage 3 (disorder)
733,S32.009,Unspecified fracture of unspecified lumbar vertebra,15724005,Fracture of vertebral column without spinal cord injury (disorder)
734,C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,254632001,Small cell carcinoma of lung (disorder)
735,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,254632001,Small cell carcinoma of lung (disorder)
736,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
737,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
738,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
739,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
740,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
741,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
742,C34.00,Malignant neoplasm of unspecified main bronchus,254632001,Small cell carcinoma of lung (disorder)
743,C34.01,Malignant neoplasm of right main bronchus,254632001,Small cell carcinoma of lung (disorder)
744,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
745,C34.02,Malignant neoplasm of left main bronchus,254632001,Small cell carcinoma of lung (disorder)
746,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
747,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
748,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
749,S93.401,Sprain of unspecified ligament of right ankle,44465007,Sprain of ankle (disorder)
750,S93.492,Sprain of other ligament of left ankle,44465007,Sprain of ankle (disorder)
751,S96.911,"Strain of unspecified muscle and tendon at ankle and foot level, right foot",44465007,Sprain of ankle (disorder)
752,S93.422,Sprain of deltoid ligament of left ankle,44465007,Sprain of ankle (disorder)
753,S93.421,Sprain of deltoid ligament of right ankle,44465007,Sprain of ankle (disorder)
754,S96.912,"Strain of unspecified muscle and tendon at ankle and foot level, left foot",44465007,Sprain of ankle (disorder)
755,S93.4,Sprain of ankle,44465007,Sprain of ankle (disorder)
756,S93.491,Sprain of other ligament of right ankle,44465007,Sprain of ankle (disorder)
757,S93.49,Sprain of other ligament of ankle,44465007,Sprain of ankle (disorder)
758,S93.402,Sprain of unspecified ligament of left ankle,44465007,Sprain of ankle (disorder)
759,S93.409,Sprain of unspecified ligament of unspecified ankle,44465007,Sprain of ankle (disorder)
760,S93.499,Sprain of other ligament of unspecified ankle,44465007,Sprain of ankle (disorder)
761,S93.429,Sprain of deltoid ligament of unspecified ankle,44465007,Sprain of ankle (disorder)
762,S24.109,Unspecified injury at unspecified level of thoracic spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
763,S12.500,Unspecified displaced fracture of sixth cervical vertebra,1734006,Fracture of vertebral column with spinal cord injury (disorder)
763,S14.106,Unspecified injury at C6 level of cervical spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
764,S32.2,Fracture of coccyx,1734006,Fracture of vertebral column with spinal cord injury (disorder)
764,S34.139,Unspecified injury to sacral spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
765,S32.009,Unspecified fracture of unspecified lumbar vertebra,1734006,Fracture of vertebral column with spinal cord injury (disorder)
765,S34.109,Unspecified injury to unspecified level of lumbar spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
766,F32,"Major depressive disorder, single episode",36923009,"Major depression, single episode (disorder)"
767,G24,Dystonia,15802004,Dystonia (disorder)
768,R25.8,Other abnormal involuntary movements,15802004,Dystonia (disorder)
769,F43.1,Post-traumatic stress disorder (PTSD),47505003,Posttraumatic stress disorder (disorder)
770,F43.11,"Post-traumatic stress disorder, acute",47505003,Posttraumatic stress disorder (disorder)
771,F43.12,"Post-traumatic stress disorder, chronic",47505003,Posttraumatic stress disorder (disorder)
772,F48.8,Other specified nonpsychotic mental disorders,47505003,Posttraumatic stress disorder (disorder)
773,F43.10,"Post-traumatic stress disorder, unspecified",47505003,Posttraumatic stress disorder (disorder)
774,F43.9,"Reaction to severe stress, unspecified",47505003,Posttraumatic stress disorder (disorder)
775,K11.7,Disturbances of salivary secretion,62718007,Dribbling from mouth (finding)
776,T65.81,Toxic effect of latex,300916003,Allergy to latex (finding)
777,Z91.040,Latex allergy status,300916003,Allergy to latex (finding)
778,T65.811,"Toxic effect of latex, accidental (unintentional)",300916003,Allergy to latex (finding)
779,Q76.3,Congenital scoliosis due to congenital bony malformation,298382003,Scoliosis deformity of spine (disorder)
780,M41,Scoliosis,298382003,Scoliosis deformity of spine (disorder)
781,M96.5,Postradiation scoliosis,298382003,Scoliosis deformity of spine (disorder)
782,Q67.5,Congenital deformity of spine,298382003,Scoliosis deformity of spine (disorder)
782,Q66.89,Other specified congenital deformities of feet,298382003,Scoliosis deformity of spine (disorder)
783,S09.90,Unspecified injury of head,25064002,Headache (finding)
784,G44.84,Primary exertional headache,25064002,Headache (finding)
785,G44.309,"Post-traumatic headache, unspecified, not intractable",25064002,Headache (finding)
786,G43.809,"Other migraine, not intractable, without status migrainosus",25064002,Headache (finding)
787,G44.4,"Drug-induced headache, not elsewhere classified",25064002,Headache (finding)
788,G51.8,Other disorders of facial nerve,25064002,Headache (finding)
789,G44.89,Other headache syndrome,25064002,Headache (finding)
790,R51,Headache,25064002,Headache (finding)
791,G44.40,"Drug-induced headache, not elsewhere classified, not intractable",25064002,Headache (finding)
792,G44.41,"Drug-induced headache, not elsewhere classified, intractable",25064002,Headache (finding)
793,R39.198,Other difficulties with micturition,267064002,Retention of urine (disorder)
794,N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms,267064002,Retention of urine (disorder)
795,R33,Retention of urine,267064002,Retention of urine (disorder)
796,J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
797,J95.88,"Other intraoperative complications of respiratory system, not elsewhere classified",65710008,Acute respiratory failure (disorder)
798,J96.0,Acute respiratory failure,65710008,Acute respiratory failure (disorder)
799,J95.821,Acute postprocedural respiratory failure,65710008,Acute respiratory failure (disorder)
800,J96.01,Acute respiratory failure with hypoxia,65710008,Acute respiratory failure (disorder)
801,J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
802,J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
802,G70.9,"Myoneural disorder, unspecified",65710008,Acute respiratory failure (disorder)
803,J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
803,A41.3,Sepsis due to Hemophilus influenzae,65710008,Acute respiratory failure (disorder)
803,R65.21,Severe sepsis with septic shock,65710008,Acute respiratory failure (disorder)
804,K63.5,Polyp of colon,68496003,Polyp of colon (disorder)
805,K51.418,Inflammatory polyps of colon with other complication,68496003,Polyp of colon (disorder)
806,K51.411,Inflammatory polyps of colon with rectal bleeding,68496003,Polyp of colon (disorder)
